xI_real,xI_imag,yout_real,yout_imag
-0.04166231,0.33178496,-0.332799852,-0.260941712
-0.018225704,0.309386511,-0.353537434,-0.238942557
-0.013754087,0.257246075,-0.291701014,-0.203865005
-0.027543703,0.180295227,-0.240969004,-0.185952578
-0.057166003,0.085003245,-0.117995186,-0.158418707
-0.098669559,-0.021066575,0.07808509,-0.180617102
-0.147257398,-0.130203145,0.29030925,-0.198058387
-0.197825048,-0.235175774,0.455202502,-0.128506476
-0.245513097,-0.329774532,0.57363778,-0.061474323
-0.286319154,-0.409399647,0.605196389,0.018184087
-0.317422814,-0.471144128,0.654178199,0.070112688
-0.337240742,-0.513778401,0.685763879,0.08954438
-0.345665884,-0.537806674,0.704964868,0.116801576
-0.344098598,-0.545076216,0.727075667,0.151799757
-0.334990622,-0.538242487,0.744115505,0.164353495
-0.321507962,-0.520453627,0.720324242,0.155620531
-0.307124155,-0.494778885,0.717069935,0.187688678
-0.295178197,-0.463841083,0.680043014,0.128565475
-0.28849272,-0.429630768,0.632469495,0.151763529
-0.289021815,-0.393096335,0.664573045,0.1275501
-0.297723313,-0.354408244,0.615876544,0.111045086
-0.314287365,-0.313135837,0.582879312,0.022383889
-0.337253827,-0.268078971,0.565432342,-0.041762399
-0.36443058,-0.217830438,0.53229525,-0.103293151
-0.392965641,-0.161158842,0.491467737,-0.201340995
-0.419723369,-0.097161471,0.446193391,-0.299200315
-0.441683761,-0.025616909,0.386983958,-0.374052121
-0.456296751,0.052899303,0.310435813,-0.435601214
-0.461871787,0.136944068,0.264156091,-0.496260457
-0.457602343,0.224291991,0.16446375,-0.566361173
-0.44384641,0.312052789,0.089770049,-0.601380884
-0.422147013,0.396901011,0.023799973,-0.628664409
-0.394771436,0.475484725,-0.051428606,-0.66336883
-0.364545155,0.544566138,-0.101529943,-0.675033251
-0.33454371,0.601316198,-0.179863404,-0.697046051
-0.307651133,0.643604326,-0.249449682,-0.688205305
-0.286214876,0.670076067,-0.295908016,-0.743988753
-0.271755609,0.68023896,-0.350269072,-0.719905893
-0.264812703,0.674381374,-0.354036575,-0.733851898
-0.264938126,0.653587836,-0.324241753,-0.706904436
-0.27088422,0.619486071,-0.30806772,-0.714204287
-0.280722289,0.57390811,-0.253189886,-0.720517931
-0.292306421,0.51900745,-0.189552685,-0.706017865
-0.303884408,0.457070375,-0.147264226,-0.69416191
-0.314285266,0.390264518,-0.090334311,-0.66411647
-0.323255287,0.320662514,-0.009263967,-0.641661619
-0.331578388,0.250196333,0.075855347,-0.587279793
-0.341002963,0.180699462,0.144213205,-0.576370155
-0.354054597,0.113955167,0.226230519,-0.515193351
-0.373383654,0.051728012,0.290800028,-0.478024229
-0.40143575,-0.004224595,0.39304119,-0.439632317
-0.439730719,-0.052100588,0.448097491,-0.40704741
-0.487980641,-0.090084472,0.514612778,-0.362836273
-0.544115863,-0.116630154,0.589118255,-0.335975608
-0.604005357,-0.130521145,0.617458995,-0.341922583
-0.661384754,-0.13095019,0.658524485,-0.399937245
-0.70849046,-0.117753618,0.646518181,-0.434953207
-0.736750557,-0.091495084,0.650748339,-0.455737332
-0.737834974,-0.05354708,0.637132598,-0.506637028
-0.704684351,-0.006029074,0.555485031,-0.479090812
-0.632742575,0.048245909,0.514787292,-0.477983629
-0.520922458,0.105938882,0.376936586,-0.451368776
-0.371865404,0.163547709,0.239629632,-0.427988416
-0.192514051,0.217598771,-0.034512722,-0.368256344
0.006159573,0.264964517,-0.251838584,-0.122778541
0.210285771,0.303131652,-0.494942461,0.09037459
0.404054988,0.330398326,-0.574959438,0.248721897
0.571365591,0.345990886,-0.669899907,0.289513371
0.697546838,0.34997013,-0.729119257,0.389771816
0.770889086,0.343330479,-0.736171492,0.413138138
0.784172468,0.327545212,-0.738786461,0.439275446
0.735416045,0.30424137,-0.737475451,0.360215197
0.628326498,0.27545824,-0.690062851,0.279193034
0.472230759,0.242881608,-0.580156729,0.166834222
0.281058826,0.207528398,-0.483580969,0.082122335
0.07198212,0.170122393,-0.404297168,-0.036071654
-0.136321702,0.130682099,-0.277305557,-0.331851333
-0.325583509,0.088752403,-0.017832994,-0.545265381
-0.479771977,0.04371984,0.252456256,-0.614425806
-0.586721237,-0.005282367,0.377734517,-0.601046612
-0.639215173,-0.05871347,0.48755513,-0.530575484
-0.635472604,-0.116450181,0.549923726,-0.463018227
-0.579037158,-0.177961567,0.608166576,-0.358596026
-0.478244344,-0.241880063,0.579986738,-0.230387069
-0.345028377,-0.306034609,0.581090767,-0.057842616
-0.193212221,-0.367790445,0.584610415,0.095764182
-0.037068131,-0.424134924,0.567669595,0.31755776
0.110281517,-0.47202633,0.450851543,0.511365515
0.238246169,-0.508748771,0.355530941,0.643214177
0.339345319,-0.532067475,0.274077453,0.702061154
0.409899348,-0.540561015,0.200935775,0.766764363
0.44989108,-0.533732987,0.122107823,0.787904271
0.46189727,-0.511849908,0.093726931,0.785948644
0.450669014,-0.475884066,0.050464326,0.76066246
0.422135637,-0.427312317,0.013729578,0.731481638
0.381967279,-0.367845998,-0.019147538,0.673381219
0.33502917,-0.299181236,-0.05150352,0.599450242
0.284696729,-0.222803213,-0.089663965,0.533469113
