xI_actual,xI_real,xI_imag
9.04E-05,0.153670629,0.224781298
9.04E-05,0.200250184,0.26234283
9.04E-05,0.236544926,0.304619733
9.04E-05,0.260966236,0.349437685
9.05E-05,0.273218874,0.39412437
9.05E-05,0.274272693,0.435739125
9.05E-05,0.26621376,0.47122467
9.05E-05,0.252002433,0.497702739
9.05E-05,0.235065883,0.512710292
9.05E-05,0.218932071,0.514382956
9.05E-05,0.206789503,0.501693334
9.05E-05,0.20113018,0.474483843
9.05E-05,0.203435702,0.433585972
9.05E-05,0.214074208,0.380729266
9.05E-05,0.232196311,0.318462118
9.05E-05,0.255876067,0.249965529
9.05E-05,0.282329668,0.178818599
9.05E-05,0.308226678,0.108762838
9.05E-05,0.330051849,0.043401143
9.05E-05,0.344491614,-0.014017783
9.05E-05,0.348795718,-0.060869749
9.05E-05,0.341052666,-0.095277518
9.05E-05,0.320375399,-0.116287491
9.05E-05,0.286965986,-0.123839845
9.05E-05,0.24207757,-0.118794593
9.05E-05,0.187838541,-0.102810638
9.05E-05,0.127040097,-0.078191757
9.05E-05,0.062833223,-0.04768262
9.05E-05,-0.001560864,-0.014249132
9.05E-05,-0.063170421,0.019174015
9.05E-05,-0.119474707,0.049913331
9.05E-05,-0.168557703,0.075725467
9.05E-05,-0.209208883,0.095035376
9.05E-05,-0.240896049,0.106965408
9.05E-05,-0.263665918,0.111417416
9.05E-05,-0.277991897,0.109046591
9.05E-05,-0.2846352,0.10115223
9.05E-05,-0.284428204,0.089573447
9.05E-05,-0.278157185,0.076450578
9.05E-05,-0.266456389,0.064008173
9.05E-05,-0.249749602,0.054357111
9.05E-05,-0.22829505,0.049234975
9.05E-05,-0.202257371,0.049789674
9.05E-05,-0.171830031,0.056481074
9.05E-05,-0.137359311,0.06893518
9.05E-05,-0.099492662,0.085978947
9.05E-05,-0.059236281,0.105695764
9.05E-05,-0.018014656,0.125545371
9.05E-05,0.02236508,0.142619883
9.05E-05,0.059837685,0.153896192
9.05E-05,0.09224362,0.156486781
9.05E-05,0.117513523,0.148022138
9.05E-05,0.133980004,0.126871559
9.05E-05,0.140513926,0.092364341
9.05E-05,0.136793462,0.044974869
9.05E-05,0.123391509,-0.013665559
9.05E-05,0.101790435,-0.080812593
9.05E-05,0.074357138,-0.152755762
9.05E-05,0.044129344,-0.225107136
9.05E-05,0.014599292,-0.293119077
